"id","product_style_id","image_url"
48,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/9cee38a2-549e-474d-9869-faf78fa388e4/burrow-slipper-57g87N.png"
49,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/924fcef6-bfd4-4186-b47e-901b7e3d6721/burrow-slipper-57g87N.png"
50,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/433e8bed-57c7-4286-b6df-54744a6332f8/burrow-slipper-57g87N.png"
51,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/47ff5350-1369-4bc6-ac86-af70502d63ac/burrow-slipper-57g87N.png"
52,9,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/8bd3e610-4380-4cee-8495-ad8cd36efbed/burrow-slipper-57g87N.png"
53,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1bffb71b-aa21-4111-a30d-77ff4b498ff5/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
54,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/352f4c58-6c1a-42ec-907a-5d267d9047c9/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
55,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/9a6a995b-482e-4b30-b659-31ace84f2cf1/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
56,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ead76512-5573-4404-abb9-6377bfe55834/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
57,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/524f9b41-559e-4322-98cf-a24a54cdde44/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
58,10,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/97adc267-9f12-4a90-8dd3-06a2acd42ec7/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
59,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a6y4ruw2tr1iosxzlgbs/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
60,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/uoo043x3u1xkcglm2my1/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
61,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/afq1nfvghdgc35eopfaa/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
62,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/fzeeiy4h1c1lza1aokih/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
63,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d0dq5bqgsg7npev0ry6w/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
64,11,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bchjhril6lzeficb0u1s/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
65,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/506b423b-460a-4a76-93f2-bccf31e0b644/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
66,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/95f62dab-bb4d-478a-bd65-925ae2c5b434/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
67,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d554a7be-d06b-4d9b-8d2e-9969fadb1be7/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
68,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6e479fa9-c5e0-47ca-bafe-03ae02933410/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
69,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bf03fa27-82b4-4e04-9d68-494c06f45a00/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
70,12,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/758b3779-4c2b-4ea1-a956-561a6cfd80db/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.png"
71,13,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/epqdidcwtqp7qxciubyo/revolution-5-road-running-shoes-szF7CS.png"
72,13,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/pr3wtzn5mvxubx4s2cx5/revolution-5-road-running-shoes-szF7CS.png"
73,13,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a1lq3vchmmqr9gmeuhue/revolution-5-road-running-shoes-szF7CS.png"
74,13,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/muqitqmoqdijwvytgddz/revolution-5-road-running-shoes-szF7CS.png"
75,13,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/vciezoamcvisu2ncsmk2/revolution-5-road-running-shoes-szF7CS.png"
76,14,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/qwqfyddzikcgc4ozwigp/revolution-5-road-running-shoes-szF7CS.png"
77,14,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dq9ivyxncfxo3gzkmlkl/revolution-5-road-running-shoes-szF7CS.png"
78,14,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/u7khoqev6hy2xgsllrnb/revolution-5-road-running-shoes-szF7CS.png"
79,14,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c90ymoqfystuna165ipq/revolution-5-road-running-shoes-szF7CS.png"
80,14,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/uivzfrudug4kmsgraghc/revolution-5-road-running-shoes-szF7CS.png"
81,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/df59a73b-250f-4a40-b1ed-4fef19b9e97c/renew-in-season-tr-11-training-shoe-xXF9dt.png"
82,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/86486725-5859-48d3-be08-9f856c484d6f/renew-in-season-tr-11-training-shoe-xXF9dt.png"
83,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/8640e5f7-cf5b-4038-aaba-01c0e1a0ccd6/renew-in-season-tr-11-training-shoe-xXF9dt.png"
84,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/75321112-47bc-48a6-a478-0a92c9f78511/renew-in-season-tr-11-training-shoe-xXF9dt.png"
85,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a54411ed-044e-4270-9581-04f14c7460c8/renew-in-season-tr-11-training-shoe-xXF9dt.png"
86,15,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cc4b0340-4673-4d69-999a-383d7f0891a7/renew-in-season-tr-11-training-shoe-xXF9dt.png"
87,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bebecc4e-15ee-4d3c-9d4e-97a3ad2462ac/renew-in-season-tr-11-training-shoe-xXF9dt.png"
88,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ec13504a-4f6d-43c8-9187-54bf77b7e3a8/renew-in-season-tr-11-training-shoe-xXF9dt.png"
89,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/901fc08e-4e4f-4484-8666-c955740066b0/renew-in-season-tr-11-training-shoe-xXF9dt.png"
90,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e0ff5b1c-096f-46b4-ae02-8ccd51b8aa58/renew-in-season-tr-11-training-shoe-xXF9dt.png"
91,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/071b1887-173d-462f-baf1-15c51e24971d/renew-in-season-tr-11-training-shoe-xXF9dt.png"
92,16,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6f2efac3-a94c-43f4-8d8b-922fb04fcb5a/renew-in-season-tr-11-training-shoe-xXF9dt.png"
93,17,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/fb722976-2dde-4cd1-987c-58deb5a0690b/kepa-kai-slides-jwXChS.png"
94,17,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c30177f1-46d5-47dc-882f-621b00aa4195/kepa-kai-slides-jwXChS.png"
95,17,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3cdd0c05-5afa-4400-8bcd-1c92a410b09c/kepa-kai-slides-jwXChS.png"
96,17,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/400d8cac-ac11-47e8-8123-16d4df4fe6bc/kepa-kai-slides-jwXChS.png"
97,17,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e163e02c-0715-46e4-8ca8-aee3801b0a13/kepa-kai-slides-jwXChS.png"
